SKU #,Picture,Description,Price,Materials,Title of Piece,Length/Weight
SW-7,SW7,"A necklace of one seventy-two carnelian beads, of round shape, with a center pendant bead with peg like shape. The pendant bead is 1.35 cm cm in height, and 6 mm wide.  The drill hole diameter is 2 mm. The round largest bead at the center is 8.6 mm in length and 9.2 mm in width. The beads graduate in size towards the back with the smallest bead being 5 mm in length and 5.2 mm in width. The drill hole diameters are 2 mm. There is an additional pair of very small carnelian disc beads facing the pendant. They are 2 mm in length and 3 mm in width. These beads come from the Swat Valley in what is now northern Pakistan, between the Indus River and the Karakoram Mountain range to the north. The beading tips and hook and eye clasp are fine silver. ",$450.00,"Carnelian, Silver",,"The necklace is 20 4/8 inches (53 cm) in length.
The necklace weighs 43.5 gm."
SW-8,SW8," A necklace of twenty four lapis lazuli barrel shaped beads faced with carnelian disc shaped beads alternating with fifteen lapis lazuli spoon pendants, each faced with two lapis lazuli disc beads separated with a 20k gold granulated ring bead.  There are seventy-eight lapis disc beads and forty-eight carnelian disc beads in the necklace as well as thirty-eight gold granulated ring beads. A pair of granulated 20k gold beading tips and a hook and eye 20k gold clasp finish the necklace.
   The pendants graduate in size towards the back of the necklace.  The largest is 1.4 cm in width, 1.78 cm in height and 3.2 mm in thickness with a drill hole diameter of 1.3 mm. The neck largest is 1.3 cm in width, 1.57 cm in height, and 3 mm in thickness. The drill hole diameter is 1.3 mm. The smallest of the pendants is 8.1 mm in width, 1.23 mm in height, and 4 mm in thickness. The drill hole diameter is 1 mm.  The barrel shaped lapis lazuli beads are 6 mm – 8 mm in length, 3.5 mm in width, a few are as short as 4 mm. The disc beads are 2 mm in length and 3 mm width. The drill hole diameters are 1 mm.
    Most of the largest pendants do not have perfectly round concavities on the front side, although nine of the smaller ones do. The larger ones have longer heights than widths and they tend to taper inwards towards the top, with the sides not being parallel to one another, giving more the impression of a scoop than a spoon. The larger pendants have a more shallow concavity than the smaller ones. Perhaps this is the result of using a large bit in a bow drill to form the concavities in the smaller spoons, and not using this technique in the fashioning of the larger spoons. In any case, there are some variations in the forms of the spoons. The use of the spoon form dates from the Bronze Age and continues for some time, perhaps even for several thousand years. They are found in present-day Afghanistan and northern Pakistan. The exact symbolism of the spoon form is unknown, but may pertain to the idea of abundance and plenty.","$3,000.00","Lapis Lazuli, 20k gold",,"The necklace is 17 ¾ inches ( 45.3 cm) in length.
The necklace weighs 21.5 gm."
SW-9,SW9,"A necklace of twenty lapis lazuli barrel beads, each faced with two turquoise disc beads, and twenty-two carnelian beads with four triangular faces, each faced with two lapis lazuli disc beads. Each of these groups of three beads are separated with a 20k granulated gold bead. There are forty-four of these gold beads, forty-four of the lapis disc beads and forty of the turquoise disc beads. There is a turquoise pendant bead at the apex of the necklace in the form of a Tri-ratna. The turquoise pendant bead is 9.3 mm in height, 8 mm in width, and 3.5 mm in thickness. The drill hole diameter is 1/5 mm.  The lapis lazuli barrel beads graduate in size slightly from the front to the back of the necklace. The largest one are 1 cm in length, 5 mm in thickness at the center, 3.5 cm in width at the ends, and having a drill diameter of 2 mm. The smallest are 6.5 mm in length,  3.5 mm in width, and with a drill hole of 1.8 mm. The largest of the carnelian beads are 5 mm in length, 4.5 mm in width on one end tapering down to 2 mm on the other. The smallest of these is 4 mm in length, 3.3 mm in width on one end and 1.3 mm on the other. The drill holes are 1mm. There are a pair of tabular carnelian beads on either side of the pendant and also a pair at the back. These are 3.5 mm in diameter and 2 mm in thickness, with hole diameters of 1 mm. The turquoise disc beads are 2 m in length and 3.5 mm – 4.5 mm in width. The lapis disc beads are slightly smaller, 2 mm in length and 3.5 mm in width. Drill hole diameters are 1mm.
     The Tri-ratna ( “three jewels”) pendant is considered to be a Buddhist symbol and was probably used as such two thousand years ago when these beads were made. It is often seen on ancient coins and on pillars and gateways in association with two other symbols that have been linked to Buddhism, the  Wheel of the Law,( a wheel with eight spokes), and the Svastika. The Svastika and the Tri-ratna are very ancient symbols that can be found on coins from Taxila, from the Harappan civilization dating to four thousand years ago. As this predates Buddhism, it seems that the symbols were appropriated as they were already in long use and considered to be sacred.  The designation “Tri-ratna” is itself a modern appellation. Western scholars in the eighteenth century associated the three pronged shape with the three jewels, the objects of refuge, the Buddha, Dharma, and the Sangha. Whether or not the form was seen as “the three jewels” two thousand years ago, it was certainly associated with Buddhism and was probably felt to a sacred sign and therefore have protective powers. The granulated beading tips and hook and eye clasp are 24k gold.","$2,900.00","Lapis Lazuli, Turquoise, Carnelian, 24k gold",,"The necklace is 20 ½ inches (52 cm) in length.
The necklace weighs 16.2 gm. "
SW-10,SW10,"A necklace of sixteen carnelian barrel beads alternating with sixteen shorter lapis lazuli barrel shaped beads each faced with a granulated ring bead of 20k gold. On either side of this are short lengths of turquoise disc beads, three or four depending on the thickness of the discs. At the middle of the necklace is a lapis lazuli pendant bead 9mm in height, 7mm in width and 3mm in thickness. The diameter of the perforation is 1 mm. The carnelian barrel beads graduate in size from front to back, the largest being 8mm in length and 5mm in width. The smallest at the back of the necklace is 5.5mm in length and 4mm in width. The drill hole diameter is 1 mm. The lapis lazuli beads are shorter barrel or oval shaped beads from 4mm in length to almost round 3mm beads at the back The widths are from 3.5mm to 3mm and the drill hole diameters are 1mm. The turquoise disc beads are 3mm in  width and around 2mm in length. These small turquoise disc beads are the oldest beads in the necklace. They are Bronze Age beads from Afghanistan and are 3,000 to 4,000 years old. The carnelian and lapis beads are 2,000 to 3,000 years old.
   The Tri-ratna (“three jewels”) pendant is considered to be a Buddhist symbol and was probably used as such two thousand years ago when these beads were made. It is often seen on ancient coins and on pillars and gateways in association with two other symbols that have been linked to Buddhism, the Wheel of the Law, (a wheel with eight spokes), and the Svastika. The Svastika and the Tri-ratna are very ancient symbols that can be found on coins from Taxila, from the Harappan civilization dating to four thousand years ago. As this predates Buddhism, it seems that the symbols were appropriated as they were already in long use and considered to be sacred. The designation “Tri-ratna” is itself a modern appellation. Western scholars in the eighteenth century associated the three pronged shape with the three jewels, the objects of refuge, the Buddha, Dharma, and the Sangha. Whether or not the form was seen as “the three jewels” two thousand years ago, it was certainly associated with Buddhism and was probably felt to a sacred sign and therefore have protective powers.
    There is some similarity in form to frog effigy amulets from the earliest period. The use of the frog as a symbolic amulet of fertility has occurred in many early cultures in both hemispheres, including Egypt and South American cultures. The sudden appearance of many frogs arising from the waters in the spring is a herald of fertility. The transformation of the frog from the aquatic tadpole to the air breathing land animal that can swim is also symbolic of magical transformation. It is interesting to speculate that the Tri-ratna symbol may have started out as a frog.","$2,700.00","Carnelian, Lapis Lazuli, Turquoise, 20k gold",,"The necklace is 19 3/8 inches (49.3 cm) in length. 
The necklace weighs 13.2 gm."
SW-11,SW11,"A necklace of twenty-one rock crystal beads alternating with twenty two lapis lazuli beads. The rock crystal beads are predominately barrel shapes that have been faceted with six sides. A few are simply flat rectangular solids with four sides.  The faces are somewhat rounded and the edges are not sharp. Most of the drill holes are straight through from one side; three have holes that meet from each side in the middle.  The center bead is a six sided bi-cone 1.79 cm in length, 1.5 cm wide at the center and 1.84 cm wide at the ends. The drill hole diameter is 3.2 mm.  The next bead back is also six sided but with two larger opposite sides. The length is 1.63 cm, 1.35 cm in width and 8.9 mm in thickness.  The drill hole diameter is 2 mm. The lapis beads are irregular short barrel shapes that graduate in size  toward the back of the necklace.  The largest is 8.5 mm in length and 8.8 mm in width and is a very worn cornerless cube shape.  The drill hole diameter is 2 mm.   The smallest is 4 mm in length and 6 mm in width at the back of the strand. The beads are from the Swat Valley in Baltistan, now northern Pakistan. They are about two thousand years in age. The beading tips and hook and eye clasp are fine silver. ",$825.00,"Rock Crystal, Lapis Lazuli, Silver",,"The necklace is 20 inches (51 cm) in length.
The necklace weighs 76.2 gm."
SW-12,SW12,"A necklace of eighteen bi-conical faceted rock crystal beads, most with six sides. There are nineteen lapis lazuli beads beads of various shapes alternating with the larger crystal beads.  The center lapis lazuli bead is 1.5 cm in length, 1.53 cm in width at the center and 1 cm in thickness. The flattened areas on each end are angled slightly so that the length at the top is about 1.2 cm.  The drill hole diameter is 2 mm.  The lapis beads graduate in size towards the back of the necklace with the smallest ones being 6 mm in length and 5.5 mm in height with a thickness of 4 mm. The drill hole is 2 mm.  The rock crystal beads ( with two exceptions ) are all faceted with six sides, and all have wider middles than ends although the proportions vary.  They are equilateral in cross section except for the second beads back from the center: these are flattened which produces a diamond shaped bead with the sides angled and faceted into two planes.  The largest crystal beads are 2.3 cm in length, 1.4 cm – 1.2 cm in width at the center and 7.8 mm wide at the ends. The drill hole diameters are 2 mm. The bead on the opposite side of the center lapis bead is 2.43 cm in length, 1.2 cm -1.43 cm in width, and 5.5 cm wide on the ends.  The drill hole diameter is 2mm. The next set back are the flattened shapes: Length, 2.34 cm, width, 1.5 mm, thickness, 9 mm. End width, 6 mm.  Hole diameter, 2 mm.  The third set back are 1.55cm – 1.75 cm in length, 1.2cm – 1.25 cm in width at the center and 1.7 cm wide at the ends.  The next pair back are six sided barrel shapes with the flat planes curving around the bead from end to end with no angle at the center: Length. 1.5 cm, width at center, 1 cm, width at ends, 3.8 cm. There are five more similar beads to the back of the necklace.  The fifth pair back from the center are 2.5 cm – 2.15 cm in length, 1 cm in width at the center and 6 mm wide at the ends. The hole diameters are 3 mm. Each of these beads shows some end chipping on the back ends. The sixth pair are similar to the fourth.  The seventh and eighth bead back are not faceted. They are 1.7 cm and 1.55 cm in length, 1.05 cm and 9.5 mm in width at the center and 3.5 mm wide on the ends. The drill hole diameters are 1.5 mm. The smallest beads at the very back are 1.25 cm in length, 8 mm in width, the second is 7mm – 9 mm in width at the center and 4 mm wide on the ends. Drill hole diameters are 1.5mm – 2mm. The beading tips and hook and eye clasp are fine silver.  ",$950.00,"Rock Crystal, Lapis Lazuli, Silver",,"The necklace is 21 ½ inches (54.7 cm) in length.
 The necklace weighs 76.4 gm.  "
SW-13,SW13,"A necklace of twenty-nine double drilled lapis beads of elongated shape, tapering at each end, and grooved at the top and the bottom with parallel lines. The back sides are flat and the front sides bulge outward at the middle. Each of the pendants is spaced with three turquoise discs through both perforations. There are twenty-four lapis lazuli cylinder beads, 3 mm in width and 5 mm in length, two strands with six each per side, at the back of the necklace, each spaced with three turquoise disc beads. There are a total of 258 turquoise disc beads. They are about 3 mm in width and vary in length from 3 mm to 1.2 mm.  The two stands are joined with a lapis lazuli bead at the very back and thread into silver beading tips to which the hook and eye clasp are attached.  
The lapis pieces graduate in size towards the back of the necklace. The center bead is 2.45 cm in height.  It is 6 mm wide at the center and 9.0 mm thick at the thickest point just above the center.  The smallest is 1.22 cm in height and 5.0 mm wide.  It is 6 mm thick at the center. The diameters of the drill holes are 2 mm.  There are variations in the forms but all follow the same basic schema: An elongated form is drilled through the side at the middle or just above the middle.  A second hole is drilled through the side near the top.  The bottom half tapers to a narrower point than the top half. The form is flat on the back and bulges outward at the middle.  A series of grooves is cut across the form at the top end and the bottom end. These can be as few as two grooves across the top and three across the bottom to five across the top and seven across the bottom. The idea seems to be to fill the space rather than to have a specific number of grooves.  
       There have been a number of suggestions as to what these forms represent.  We favor the idea that these are representations of silk worms. There are jade versions of larval forms found in tombs in China from the Warring States Period and Western Zhou. We think that these may be the prototypes for these lapis lazuli beads.  The time period is about the same – roughly 500 B.C. to 500 A.D. These beads come from the Swat Valley in what is now northern Pakistan, between the Indus River and the Karakoram Mountain range to the north. The clasp and beading tips are sterling silver. ","$2,500.00","Lapis Lazuli, Turquoise, Silver",,"The necklace is 20 inches (51 cm) in length.
The necklace weighs 54.5 gm."
SW-14,SW14,"A necklace of thirty-seven rock crystal beads and thirty-eight lapis lazuli beads of various shapes.  The rock crystal beads include ten pendant beads of tear-drop shape. They are narrow when seen from the front and wider in side view. Several of them have one wide side which is flatter than the other, probably a consequence of the method of shaping. They are roughly shaped and then tumble polished to round all of the edges.  The largest of these is 1.65 cm in height, 1.4 cm in width at the widest point and 6 cm in thickness at the bottom tapering to 3 mm in thickness at the drill hole.  The drill hole diameter is 2 mm.  Most of these are about 1.5 cm in height 1.1cm – 1.2 cm in width, and 6mm - 8mm in thickness.  The beads range in size from 1.5 cm to 8 mm in length.  There are many variations in shape: round and flattened spheres, short bi-cones with six sides, barrel shapes and faceted barrel shapes.  The smaller beads towards the back of the necklace are the more precisely cut, with the facets of equal size. One such example is 8.5 mm in length, 9 mm in width and with a drill hole diameter of 1.2 mm. There are eight planes arranged equally around the drill hole and then a second register of sixteen triangles around the circumference at he equator. There are four such beads in the necklace. There are three more of this level of craftsmanship, but of a different design, being short bicones with eight facets around each hemisphere. The largest one is 1 cm in length, 1.4 cm in width at the center and with a drill hole diameter of 1.5 mm.   The larger beads give the impression of being roughly shaped and then wheel cut with flat planes and facets, with no attempt at overall symmetry.  The lapis beads are similarly rough in shape, being short barrels and flattened spheres. The center bead is angled slightly on the sides being 1.3 cm in length at the bottom and 1.05 cm in length at the top. The width is 1.25 on one end and 7 mm on the other. The drill hole diameter is 3 mm. Once again, the impression is that the makers were making as little alteration to the pieces as possible in order to maximize the size of the beads. The beads graduate in size from the from of the necklace to the back , from around 1 cm to 5 mm in length, and 1 .25 cm to 7.5 mm in width.  These seem to be made for the common people rather than for the sophisticated elite. The very regular alteration of the lapis and crystal as well as the ten pendant beads bring an order to the rather large and crudely shaped beads.      ","$1,000.00","Rock Crystal, Lapis Lazuli, Silver",,"The necklace is 24 ½ inches  (62.2 cm) in length.
The necklace weighs 105.5 gm."
SW-15,SW15,"A necklace of thirty-nine rock crystal beads, with longer tapered bi-conical and cylindrical shapes alternating with round beads. The center bead is a rounded off diamond shape 2.65 cm in length, 2.28 cm in width at the center and 8 mm in width at the ends, with a thickness of 1.28 cm at the center and 6 mm at the ends.  The hole diameter is 2.8 mm.  Facing this bead is a round bead of 1.35 cm in diameter and a drill hole diameter of 3 mm. It's opposite is a flattened sphere 1.q15 cm in length and 1.5 cm in width. The drill hole diameter is 2.4 mm.  Behind each of these are six sided cylinder beads 2.14 cm in length, 1.1 cm in width, and with drill hole diameters of 2mm.  The beads graduate in size towards the back of the necklace. The last round bead is 1 cm in diameter.
    These beads remind us of Kushan era beads circa 500 B.C. – 500 A.D.  from India and what is now Pakistan. These beads come from the Swat Valley in what is now northern Pakistan, between the Indus River and the Karakoram Mountain range to the north. Perhaps these are inspired by the smaller and more precisely cut Kushan beads and are a local variant on the Kushan style beads, but bigger and more flashy for a less sophisticated clientele, on the outskirts of the culture. This may be a reflection of what was preferred in the mountain villages rather than in the cities in the plains. The beading tips and clasp are fine silver.",$750.00,"Rock Crystal, Silver",,"The necklace is 24 1/8 inches (61.3 cm) in length.
The necklace weighs 122 gm. "
SW-16,SW16,"A necklace of eighteen carnelian bi-cone beads, each faced with a lapis lazuli bead alternating with seventeen rock crystal beads of mostly faceted bi-cones but with the center bead and the last two beads being spherical. The center bead is 1.8 cm in diameter with a drill hole diameter of 3 mm.  Three of the rock crystal beads have a purple color being a pale amethyst. The first two back from the center bead are very pale,  having a length of 1.5 cm and a width of 1.1 cm. The rock crystal beads graduate in size towards the back of the necklace. The carnelian beads also graduate in size towards the back.  The longest bi-conical or tapered barrel shaped bead is 2.3 cm in length, 9.5 mm in width at the center and 4 mm in width at the ends. The drill hole diameter is 2mm. Its opposite on the other side of the center bead is similar in proportion but shorter being 1.8 cm in length, 9.2 mm in width at the center and 4.5 mm wide at the ends. The thirty-five lapis lazuli beads are rounded, short cylinder shapes, from 5 mm in length and 8 mm in width to 3.5 mm - 4 mm in length and 4.5 mm in width.  There is an agate bead to the right of the center bead that is 6.2 mm in length, 8.2 mm in width and with   a drill hole diameter of 1.8 mm. The similar shapes of the rock crystal and carnelian beads and the very regular alternation of the colors frames the large round center rock crystal bead well. The beading tips and hook and eye clasp are fine silver.",$750.00,"Rock Crystal, Lapis Lazuli, Carnelian, Silver",,"The necklace is 26 3/8 inches (67.2 cm) in length.
The necklace weighs 68.0 gm."
